femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id,year
DR-1866-AL,1866,AL,DR,2009-12-22T20:30:00.000Z,2010,Hurricane,TROPICAL STORM IDA,0,0,1,1,2009-11-09T05:00:00.000Z,2009-11-11T04:59:00.000Z,2019-07-09T03:59:00.000Z,1,3,99003,Baldwin (County),9123,cd2e517c5af075e89a71ade5eb8f6277,2020-10-05T14:21:55.732Z,5f7b2c0331a8c6681cfd1e44,2009
DR-1866-AL,1866,AL,DR,2009-12-22T20:30:00.000Z,2010,Hurricane,TROPICAL STORM IDA,0,0,1,1,2009-11-09T05:00:00.000Z,2009-11-11T04:59:00.000Z,2019-07-09T03:59:00.000Z,1,97,99097,Mobile (County),9123,17c80d70ce7e563f5728f4d20ede1b32,2020-10-05T14:21:55.732Z,5f7b2c0331a8c6681cfd1e46,2009
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,115,99115,Dawson (County),10088,142a35bd73f6a5a46721fb0b3c09253c,2020-10-05T14:21:57.265Z,5f7b2c0531a8c6681cfd3a22,2010
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,101,99101,Cottle (County),10088,6725e77a7a64058173bf56bb560ecac3,2020-10-05T14:21:57.264Z,5f7b2c0531a8c6681cfd3a42,2010
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,169,99169,Garza (County),10088,61c0cb3a562c561bedd90a191ae51b86,2020-10-05T14:21:57.268Z,5f7b2c0531a8c6681cfd3a45,2010
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,153,99153,Floyd (County),10088,25cde1528902eb4bf31b4171c0097aaa,2020-10-05T14:21:57.265Z,5f7b2c0531a8c6681cfd3a46,2010
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,155,99155,Foard (County),10088,7cb2af95fb1cfafcc5275bfd6aa78d47,2020-10-05T14:21:57.267Z,5f7b2c0531a8c6681cfd3a4a,2010
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,57,99057,Calhoun (County),10088,42be6302e112e7bc4962ee6bf53cdb1e,2020-10-05T14:21:57.263Z,5f7b2c0531a8c6681cfd3a51,2010
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,249,99249,Jim Wells (County),10088,1f6e1e43aad786c0a8190b73b015e16b,2020-10-05T14:21:57.270Z,5f7b2c0531a8c6681cfd3a53,2010
DR-1931-TX,1931,TX,DR,2010-08-04T00:00:00.000Z,2010,Hurricane,HURRICANE ALEX,0,0,1,1,2010-06-30T04:00:00.000Z,2010-08-14T04:00:00.000Z,2020-05-02T03:59:00.000Z,48,489,99489,Willacy (County),10088,e1811d02d5e900389ff4e9fbb9609880,2020-10-05T14:21:57.282Z,5f7b2c0531a8c6681cfd3a62,2010
